Punjab,Assassination
Punjab,ArmedAssault
Punjab,Assassination
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Unknown
Punjab,Assassination
Punjab,ArmedAssault
Manipur,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,HostageTaking(Kidnapping)
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Delhi,Bombing/Explosion
Tripura,ArmedAssault
Chandigarh,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Unknown
Punjab,Assassination
Delhi,Assassination
Bihar,Unknown
UttarPradesh,ArmedAssault
Punjab,Assassination
Punjab,ArmedAssault
Delhi,ArmedAssault
Punjab,ArmedAssault
Punjab,ArmedAssault
Delhi,ArmedAssault
Punjab,Unknown
Delhi,Assassination
Nagaland,Unknown
Delhi,Assassination
Punjab,ArmedAssault
Punjab,Unknown
Chandigarh,ArmedAssault
Punjab,Unknown
UttarPradesh,ArmedAssault
Delhi,Bombing/Explosion
WestBengal,Unknown
JammuandKashmir,Bombing/Explosion
TamilNadu,Bombing/Explosion
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,Bombing/Explosion
Punjab,ArmedAssault
Tripura,Assassination
Punjab,Assassination
Rajasthan,Assassination
Punjab,Unknown
Delhi,Assassination
TamilNadu,Bombing/Explosion
Delhi,Assassination
Delhi,Unknown
TamilNadu,Unknown
TamilNadu,Unknown
Delhi,Unknown
Punjab,Assassination
Delhi,Unknown
Assam,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Chandigarh,Assassination
Delhi,Assassination
Delhi,Assassination
Chandigarh,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
TamilNadu,Unknown
Chandigarh,Assassination
Punjab,ArmedAssault
Punjab,Unknown
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
TamilNadu,Bombing/Explosion
Punjab,ArmedAssault
Delhi,Bombing/Explosion
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Bombing/Explosion
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Assassination
Delhi,Bombing/Explosion
Delhi,Bombing/Explosion
Delhi,Bombing/Explosion
Delhi,ArmedAssault
Punjab,ArmedAssault
Delhi,Assassination
Delhi,Assassination
Punjab,Assassination
Delhi,Assassination
Punjab,Assassination
Punjab,Assassination
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
WestBengal,Facility/InfrastructureAttack
WestBengal,Facility/InfrastructureAttack
WestBengal,Facility/InfrastructureAttack
WestBengal,Facility/InfrastructureAttack
WestBengal,Facility/InfrastructureAttack
WestBengal,Facility/InfrastructureAttack
WestBengal,ArmedAssault
WestBengal,ArmedAssault
WestBengal,ArmedAssault
Punjab,Assassination
Punjab,Assassination
Unknown,Assassination
WestBengal,Facility/InfrastructureAttack
Punjab,ArmedAssault
Chandigarh,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Punjab,ArmedAssault
UttarPradesh,Bombing/Explosion
Maharashtra,ArmedAssault
UttarPradesh,ArmedAssault
Punjab,ArmedAssault
Punjab,Unknown
UttarPradesh,Assassination
Gujarat,Assassination
Delhi,Bombing/Explosion
Delhi,Bombing/Explosion
Punjab,ArmedAssault
Delhi,Assassination
Delhi,Assassination
Delhi,Bombing/Explosion
Delhi,Assassination
Delhi,Assassination
Punjab,ArmedAssault
Punjab,ArmedAssault
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
Delhi,Bombing/Explosion
Punjab,Assassination
HimachalPradesh,Assassination
Punjab,Assassination
Uttaranchal,Assassination
Karnataka,ArmedAssault
Punjab,Bombing/Explosion
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Rajasthan,Assassination
Rajasthan,Assassination
Rajasthan,Assassination
Chandigarh,ArmedAssault
Punjab,ArmedAssault
Delhi,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Bombing/Explosion
Punjab,Unknown
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Assassination
Uttaranchal,Assassination
Punjab,Assassination
Punjab,ArmedAssault
Punjab,Assassination
MadhyaPradesh,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Karnataka,ArmedAssault
Unknown,ArmedAssault
Unknown,Assassination
Punjab,Assassination
Punjab,ArmedAssault
Punjab,Assassination
Punjab,ArmedAssault
Delhi,ArmedAssault
Tripura,ArmedAssault
Delhi,ArmedAssault
Delhi,ArmedAssault
Unknown,Assassination
Punjab,Assassination
Punjab,ArmedAssault
HimachalPradesh,ArmedAssault
